ÉtÉ@ÉCÉã,ê≥â,ìÆçÏ1,ìÆçÏ2,ìÆçÏ3,ìÆçÏ4,ìÆçÏ5,ìÆçÏ6,ìÆçÏ7,ìÆçÏ8,ìÆçÏ9,ìÆçÏ10
subject1_file_622,[3],1.0,1.654499360762436,0,2.594346379590888,0,0,0,0,0,0
subject1_file_869,[3],0.6544993607624361,0.6544993607624361,0,1.9398470188284518,0,0,0,0,0,0
subject1_file_807,"[0, 3, 6]",0.6544993607624361,0.6544993607624361,0,0.9398470188284518,1.654499360762436,0.6544993607624361,0,0,0,0
subject1_file_463,"[0, 9]",2.594346379590888,2.594346379590888,0,0.8935856246264196,0.9398470188284518,0,0,0.8935856246264196,0.8935856246264196,1.5480849853888556
subject1_file_830,"[4, 9]",1.0,2.594346379590888,0,0.6544993607624361,0.8935856246264196,0,0,0,0,0.8935856246264196
subject1_file_272,"[4, 9]",1.9398470188284518,1.654499360762436,0,2.487932004217307,1.8935856246264196,0,0,0.8935856246264196,0.8935856246264196,0.8935856246264196
subject1_file_382,[9],0.950777740126581,0.950777740126581,0,0.950777740126581,2.6471669903455046,0,0,0,0,1.6963892502189235
subject1_file_588,[3],0,1.654499360762436,0,3.487932004217307,0.6544993607624361,0,0,0,0,0.9398470188284518
subject1_file_140,[3],1.5480849853888556,2.5480849853888556,0.8935856246264196,1.9398470188284518,0.8935856246264196,0.8935856246264196,0.8935856246264196,0,0.8935856246264196,0.8935856246264196
subject1_file_213,"[0, 3, 6]",2.8334326434548713,2.594346379590888,0,0.6544993607624361,1.8334326434548713,0,0,0,0,0
subject1_file_685,"[0, 9]",1.8935856246264196,3.487932004217307,0,1.5480849853888556,0.8935856246264196,0,0,0,0,0
subject1_file_389,"[4, 9]",1.0,2.594346379590888,0,1.5480849853888556,0,0,0,0.8935856246264196,0,0.8935856246264196
subject1_file_247,"[4, 9]",2.5480849853888556,1.654499360762436,0,0.6544993607624361,2.487932004217307,0,0,0,0,1.8334326434548713
subject1_file_808,[3],0,0,0,1.9398470188284518,0,0,0,0,0,0
subject1_file_238,[3],0,0,0,0,1.0,0,0,0,0,1.0
subject1_file_985,"[0, 3, 6]",1.9398470188284518,1.0,0,0,0.9398470188284518,0,0,0,0,0.9398470188284518
subject1_file_499,"[0, 9]",1.0,1.9398470188284518,0,0,0.8935856246264196,0,0,0,0,0.8935856246264196
subject1_file_980,"[4, 9]",1.8935856246264196,1.8935856246264196,0,0.9398470188284518,1.8935856246264196,0,0,0,0,0
subject1_file_310,"[4, 9]",0.8935856246264196,0.8935856246264196,0.8935856246264196,1.8334326434548713,1.8935856246264196,0.8935856246264196,0,0,0,1.0
subject1_file_793,[9],0,0,0,0,1.950777740126581,0,0,0,0,1.950777740126581
subject1_file_618,[3],0,1.654499360762436,0,3.487932004217307,0,0,0,0,0,0
subject1_file_780,"[3, 6]",2.487932004217307,2.5480849853888556,0,2.5480849853888556,1.5480849853888556,0,0,0,0,0
subject1_file_313,"[0, 6]",0,0.6544993607624361,0,1.5480849853888556,1.9398470188284518,0,0,0,0,0.9398470188284518
subject1_file_958,"[0, 9]",2.5480849853888556,2.5480849853888556,0.8935856246264196,1.5480849853888556,2.487932004217307,0.8935856246264196,0.8935856246264196,0,0,0.9398470188284518
subject1_file_98,"[4, 9]",2.8334326434548713,3.487932004217307,0,1.5480849853888556,0,0,0,0.8935856246264196,0,0
subject1_file_424,"[4, 9]",0,0,0,0,3.487932004217307,0,0,0,0,2.487932004217307
subject1_file_964,[3],2.594346379590888,1.654499360762436,0,1.654499360762436,1.5943463795908879,0,0,0,0,0
subject1_file_884,[3],0.6544993607624361,0.6544993607624361,0,2.594346379590888,0.6544993607624361,0,0,0,0,0
subject1_file_263,"[0, 3, 6]",0,0,0,2.594346379590888,0,0,0,0,0,0
subject1_file_784,"[0, 9]",2.594346379590888,2.594346379590888,0,0.8935856246264196,1.5943463795908879,0,0,0,0,0
subject1_file_684,"[4, 9]",0.8935856246264196,2.487932004217307,0.8935856246264196,1.5480849853888556,1.8935856246264196,0.8935856246264196,0.8935856246264196,0,0,1.0
subject1_file_968,"[4, 9]",2.8334326434548713,1.0,0,0.6544993607624361,1.8334326434548713,0,0,0,0,1.8334326434548713
subject1_file_786,[9],2.5480849853888556,1.8935856246264196,0.8935856246264196,0.8935856246264196,2.487932004217307,1.5480849853888556,0.8935856246264196,0,0,1.5943463795908879
subject1_file_243,[3],1.654499360762436,1.0,0,1.654499360762436,0,0,0,0.6544993607624361,0.6544993607624361,1.5943463795908879
subject1_file_957,[3],1.0,0,0,1.5943463795908879,1.0,0,0,0,0,0
subject1_file_319,"[3, 6]",0.6544993607624361,0.6544993607624361,0,1.5943463795908879,1.654499360762436,0,0,0,0,0
subject1_file_853,"[0, 6, 9]",1.654499360762436,1.654499360762436,0,1.5480849853888556,1.654499360762436,0,0,0,0,0.9398470188284518
subject1_file_11,"[4, 9]",0,0.9398470188284518,0,1.5480849853888556,1.0,0,0,0,0,1.0
subject1_file_814,"[4, 9]",0,0,0,0,2.8334326434548713,0,0,0,0,3.487932004217307
subject1_file_873,[3],0,0,0,2.594346379590888,0,0,0,0,0,0
subject1_file_513,"[1, 3]",1.0,1.0,0,0,0.6544993607624361,0,0,0,0,0.6544993607624361
subject1_file_721,[1],1.0,1.9398470188284518,0,0,0.6544993607624361,0,0,0,0,0.6544993607624361
subject1_file_204,"[0, 1, 4]",1.654499360762436,1.9398470188284518,0,0,1.5480849853888556,0,0,0,0,1.5480849853888556
subject1_file_768,"[0, 1, 4]",1.8935856246264196,1.0,0,0,2.487932004217307,0,0,0,0,2.487932004217307
subject1_file_254,"[1, 3, 4]",1.8935856246264196,1.8935856246264196,0,1.5943463795908879,1.8935856246264196,0,0,0,0,0.6544993607624361
subject1_file_536,"[3, 7, 8]",0.8935856246264196,0,0,1.654499360762436,2.487932004217307,0,0,0,0,1.5480849853888556
subject1_file_96,"[8, 9]",1.0,1.0,0,0.8935856246264196,1.5943463795908879,0,0,0.8935856246264196,1.5480849853888556,2.487932004217307
subject1_file_37,[3],0.6544993607624361,0.6544993607624361,0,1.8935856246264196,0.6544993607624361,0,0,0,0,0
subject1_file_281,"[1, 3]",1.0,1.654499360762436,0,0.6544993607624361,0.9398470188284518,0,0,0,0,0.9398470188284518
subject1_file_849,[1],1.654499360762436,2.594346379590888,0,0,1.5943463795908879,0,0,0,0,0.6544993607624361
subject1_file_485,"[0, 1, 4]",1.8935856246264196,2.5480849853888556,0,0.6544993607624361,0.8935856246264196,0,0,0,0,0
subject1_file_496,"[0, 1, 4]",2.8334326434548713,1.8935856246264196,0,0.6544993607624361,1.8334326434548713,0,0,0,0,0
subject1_file_564,"[1, 3, 4]",1.0,1.0,0,1.5943463795908879,1.8935856246264196,0,0,0,0,0.8935856246264196
subject1_file_871,"[3, 7, 8]",2.5480849853888556,2.594346379590888,0,0.6544993607624361,1.5480849853888556,0,0,0,0,0.8935856246264196
subject1_file_743,"[8, 9]",0,1.0,0,1.0,1.8334326434548713,0,0,0,0,1.8334326434548713
subject1_file_417,[3],0.8935856246264196,0.8935856246264196,0.8935856246264196,2.594346379590888,1.5480849853888556,0.8935856246264196,1.5480849853888556,0.8935856246264196,0.8935856246264196,1.5480849853888556
subject1_file_39,"[1, 3]",1.0,1.0,0,0.9398470188284518,0.6544993607624361,0,0,0,0,0.6544993607624361
subject1_file_858,"[0, 1, 2]",1.654499360762436,1.0,0,0.8935856246264196,2.487932004217307,0,0,0.8935856246264196,0,2.487932004217307
