Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject3_file_867	0	0	2	2	1	1	2	1	0	1	1	
subject3_file_537	0	0	0	0	1	1	1	1	1	1	1	
subject3_file_753	0	0	0	1	0	0	0	0	0	0	0	
subject3_file_335	0	0	0	0	0	0	0	0	0	0	1	
subject3_file_718	0	0	0	0	0	0	0	0	0	0	0	
subject3_file_855	0	0	0	0	0	1	1	0	0	0	0	
subject3_file_850	0	0	2	1	0	1	1	1	1	1	1	
subject3_file_901	0	0	0	0	0	0	0	0	0	0	0	
subject3_file_14	0	0	1	1	0	1	1	1	1	2	2	
subject3_file_85	0	0	0	0	0	0	0	0	0	0	0	
subject3_file_36	0	0	0	0	0	0	0	0	0	0	0	
subject3_file_415	0	0	1	1	0	1	1	1	1	1	0	
subject3_file_97	0	0	0	0	2	2	2	0	0	0	0	
subject3_file_554	0	0	0	0	0	0	0	0	0	0	0	
subject3_file_389	0	0	0	1	0	0	0	0	0	0	0	
subject3_file_931	0	0	0	0	0	0	0	0	0	0	0	
subject3_file_893	0	0	1	1	0	0	0	1	1	1	1	
subject3_file_61	0	0	0	1	0	1	1	0	2	2	2	
subject3_file_315	0	0	0	0	0	0	0	0	0	0	0	
subject3_file_34	0	0	2	1	0	0	0	0	0	0	0	
subject3_file_991	0	0	0	1	0	0	0	0	0	0	0	
subject3_file_246	0	0	0	0	0	0	0	1	0	0	0	
subject3_file_146	0	0	0	0	0	1	0	0	2	2	2	
subject3_file_104	0	0	0	1	0	0	0	0	0	0	1	
subject3_file_264	0	0	2	1	1	1	1	1	1	1	1	
subject3_file_808	0	0	2	1	1	1	1	1	1	1	1	
subject3_file_827	0	0	0	1	0	1	1	1	1	1	0	
subject3_file_973	0	0	0	1	0	1	1	0	0	2	2	
subject3_file_935	0	0	0	0	0	0	0	0	0	0	0	
subject3_file_609	0	0	0	0	1	1	1	0	0	2	2	
subject3_file_216	0	0	0	0	0	0	0	0	0	0	0	
subject3_file_829	0	2	2	2	2	2	0	0	0	0	0	
subject3_file_352	0	0	0	1	0	0	0	0	0	0	0	
subject3_file_562	0	0	0	0	0	1	1	1	1	1	0	
subject3_file_231	0	0	0	0	0	0	0	2	0	0	0	
subject3_file_525	0	0	0	0	0	1	1	0	0	1	1	
subject3_file_382	1	0	2	2	1	1	1	1	1	1	1	
subject3_file_526	1	0	0	0	0	1	1	1	1	1	1	
subject3_file_949	1	0	0	1	0	1	1	1	1	1	1	
subject3_file_580	1	0	0	1	0	0	0	0	1	1	1	
subject3_file_99	1	0	0	0	0	1	1	0	0	0	0	
subject3_file_610	1	0	2	1	0	1	1	1	1	1	1	
subject3_file_547	1	0	0	1	0	0	0	0	2	2	2	
subject3_file_362	1	0	0	0	0	0	0	0	0	0	0	
subject3_file_56	1	0	0	1	0	1	1	1	1	1	1	
subject3_file_111	1	0	0	1	0	1	1	1	1	1	1	
subject3_file_345	1	0	0	0	2	2	1	1	1	1	1	
subject3_file_74	1	0	0	1	0	0	1	1	1	1	0	
subject3_file_507	1	0	0	0	0	0	0	1	0	1	1	
subject3_file_775	1	0	0	1	0	1	2	2	2	2	2	
subject3_file_817	1	0	0	0	0	0	0	0	0	0	0	
subject3_file_462	1	0	0	0	0	1	1	1	1	1	1	
subject3_file_684	1	0	0	1	1	1	1	1	1	1	1	
subject3_file_807	1	0	0	0	1	1	1	0	0	0	0	
subject3_file_540	1	0	0	1	0	1	1	1	1	1	1	
subject3_file_823	1	0	0	0	0	0	0	0	0	2	2	
subject3_file_435	1	0	0	0	1	1	1	2	2	0	1	
subject3_file_5	1	0	0	0	0	0	0	0	0	0	0	
subject3_file_418	1	0	1	1	0	1	1	1	1	1	1	
subject3_file_439	1	0	1	1	0	1	1	1	1	1	1	
subject3_file_261	1	0	0	0	2	2	2	2	2	2	0	
subject3_file_727	1	0	0	1	0	0	1	1	1	1	1	
subject3_file_559	1	0	2	2	2	0	0	0	0	0	0	
subject3_file_411	1	0	0	1	1	1	1	1	0	1	1	
subject3_file_9	1	0	2	2	2	2	1	1	1	1	1	
subject3_file_640	1	0	0	1	0	1	1	1	1	1	1	
subject3_file_43	1	0	0	1	0	1	1	1	1	1	1	
subject3_file_491	1	0	0	0	0	1	1	1	2	2	2	
subject3_file_818	1	0	0	0	1	1	1	1	1	1	2	
subject3_file_328	1	0	0	0	0	1	1	1	0	0	0	
subject3_file_251	1	0	0	0	0	1	1	2	2	2	2	
subject3_file_531	1	0	0	0	0	0	2	2	2	2	2	
subject3_file_607	1	0	1	0	0	1	1	1	1	1	1	
subject3_file_67	1	0	0	1	0	1	1	1	1	1	1	
subject3_file_197	1	0	0	1	1	1	1	1	1	1	0	
subject3_file_11	1	0	0	1	0	1	1	1	1	1	0	
subject3_file_88	1	0	0	0	0	0	0	0	0	0	0	
subject3_file_260	1	0	0	1	0	1	1	1	2	2	2	
subject3_file_318	2	0	2	2	0	2	2	1	1	1	1	
subject3_file_388	2	0	0	0	0	0	0	2	0	0	0	
subject3_file_355	2	0	0	1	0	1	1	1	1	1	0	
subject3_file_391	2	0	0	1	0	1	1	2	0	0	2	
subject3_file_849	2	0	2	1	1	1	1	1	1	1	1	
subject3_file_884	2	0	0	0	0	0	0	0	0	0	0	
subject3_file_364	2	0	0	1	0	1	1	1	0	0	0	
subject3_file_62	2	0	0	0	0	1	0	0	2	2	2	
subject3_file_749	2	0	0	0	0	0	2	2	0	0	0	
subject3_file_695	2	0	0	0	1	1	1	1	0	0	0	
subject3_file_10	2	0	1	1	0	0	1	0	0	2	2	
subject3_file_999	2	0	0	0	0	1	1	0	0	0	0	
subject3_file_511	2	0	2	1	0	0	0	1	0	0	1	
subject3_file_377	2	0	0	1	0	0	0	2	2	2	2	
subject3_file_135	2	0	1	1	1	1	1	1	1	1	1	
subject3_file_974	2	0	0	0	0	0	0	0	0	0	0	
subject3_file_853	2	0	2	2	0	0	1	1	1	1	1	
subject3_file_571	2	0	0	0	0	1	1	1	0	0	0	
subject3_file_951	2	0	0	1	0	0	1	0	2	0	2	
subject3_file_207	2	0	0	0	0	1	1	2	2	2	2	
subject3_file_557	2	0	0	0	0	0	0	0	0	0	0	
subject3_file_977	2	0	2	2	0	2	2	0	0	0	0	
subject3_file_402	2	0	0	0	0	1	1	1	1	1	1	
subject3_file_854	2	0	0	0	0	0	0	2	2	2	2	
subject3_file_520	2	0	0	0	0	1	1	1	1	1	1	
Total Train loss	-----	1.0595042705535889	0.9605507850646973	0.8305653929710388	0.9604411125183105	0.8976355195045471	0.8265247941017151	0.7351433634757996	0.6391196846961975	0.5933470129966736	0.4771558940410614	
Train Accuracy	-----	0.425414364640884	0.4861878453038674	0.6353591160220995	0.4696132596685083	0.5524861878453039	0.5966850828729282	0.6464088397790055	0.712707182320442	0.7348066298342542	0.7955801104972375	
Training time	-----	0:00:07.229508	0:00:06.641026	0:00:06.630100	0:00:06.769933	0:00:06.558363	0:00:06.623973	0:00:06.699699	0:00:06.841031	0:00:06.677017	0:00:06.740713	
Total Test loss	-----	1.0912128686904907	1.2333664894104004	1.2757271528244019	1.1147643327713013	1.121114730834961	1.1831566095352173	1.2937299013137817	1.4323729276657104	1.5728099346160889	1.9276392459869385	
Test Accuracy	-----	0.33980582524271846	0.33980582524271846	0.4077669902912621	0.34951456310679613	0.46601941747572817	0.5242718446601942	0.5533980582524272	0.5145631067961165	0.49514563106796117	0.49514563106796117	
Testing time	-----	0:00:14.863031	0:00:15.011588	0:00:15.057888	0:00:14.701197	0:00:14.950138	0:00:14.909969	0:00:14.960112	0:00:14.745404	0:00:14.851408	0:00:14.798885	
threshold sigmoid train	-----	---	---	---	---	---	---	---	---	---	---	
threshold sigmoid test	-----	---	---	---	---	---	---	---	---	---	---	
