ファイル,正解,レシピ1,レシピ2,レシピ3
subject3_file_867,0,0.9019607843137255,1.0,1.0809771709425688
subject3_file_537,0,0.9019607843137255,1.31680123029604,0
subject3_file_753,0,1.0,1.2187620146097655,0
subject3_file_335,0,0.9019607843137255,2.080977170942569,0
subject3_file_718,0,1.0,0.7641759406465289,1.2187620146097655
subject3_file_855,0,1.0,1.2187620146097655,0.7641759406465289
subject3_file_850,0,0.9019607843137255,1.764175940646529,0.31680123029603996
subject3_file_901,0,1.9019607843137254,0,0.31680123029603996
subject3_file_14,0,0.9019607843137255,0.31680123029603996,1.0
subject3_file_85,0,2.6661367249602543,0.31680123029603996,0
subject3_file_36,0,1.9019607843137254,0.7641759406465289,0.31680123029603996
subject3_file_415,0,1.9019607843137254,1.0809771709425688,0
subject3_file_97,0,1.0,0,0.9019607843137255
subject3_file_554,0,1.0,0,1.2187620146097655
subject3_file_389,0,1.9019607843137254,0.31680123029603996,0
subject3_file_931,0,1.9019607843137254,0.31680123029603996,0
subject3_file_893,0,0,1.9019607843137254,0.31680123029603996
subject3_file_61,0,0,1.6661367249602543,1.31680123029604
subject3_file_315,0,1.9019607843137254,0.31680123029603996,0
subject3_file_34,0,1.9019607843137254,0.31680123029603996,0
subject3_file_991,0,1.9019607843137254,0.31680123029603996,0
subject3_file_246,0,1.0,0.31680123029603996,1.6661367249602543
subject3_file_146,0,0,0.7641759406465289,2.2187620146097653
subject3_file_104,0,0.9019607843137255,2.080977170942569,0
subject3_file_264,0,1.6661367249602543,1.0,0.31680123029603996
subject3_file_808,0,0.9019607843137255,1.0,0.31680123029603996
subject3_file_827,0,1.0,1.2187620146097655,0
subject3_file_973,0,0.9019607843137255,0.31680123029603996,1.764175940646529
subject3_file_935,0,1.764175940646529,0.31680123029603996,0.9019607843137255
subject3_file_609,0,0.7641759406465289,1.2187620146097655,1.0
subject3_file_216,0,1.0,1.9829379552562942,0
subject3_file_829,0,1.9019607843137254,0.31680123029603996,0
subject3_file_352,0,1.9019607843137254,0,0.31680123029603996
subject3_file_562,0,2.6661367249602543,0,0.31680123029603996
subject3_file_231,0,2.6661367249602543,0,0.31680123029603996
subject3_file_525,0,0.9019607843137255,1.764175940646529,0.31680123029603996
subject3_file_382,1,1.2187620146097655,1.764175940646529,0
subject3_file_526,1,0.31680123029603996,1.9019607843137254,0
subject3_file_949,1,1.2187620146097655,1.0,0
subject3_file_580,1,0.31680123029603996,1.9019607843137254,0
subject3_file_99,1,1.9019607843137254,0.31680123029603996,0
subject3_file_610,1,1.2187620146097655,1.0,0
subject3_file_547,1,0.31680123029603996,0,1.9019607843137254
subject3_file_362,1,2.2187620146097653,0,0.7641759406465289
subject3_file_56,1,0.31680123029603996,1.9019607843137254,0
subject3_file_111,1,0,2.2187620146097653,0
subject3_file_345,1,0.9019607843137255,1.31680123029604,0
subject3_file_74,1,1.9019607843137254,0.7641759406465289,0.31680123029603996
subject3_file_507,1,1.9829379552562942,1.0,0
subject3_file_775,1,1.2187620146097655,0.7641759406465289,1.0
subject3_file_817,1,1.0,0.9019607843137255,1.0809771709425688
subject3_file_462,1,1.2187620146097655,1.0,0
subject3_file_684,1,0,2.2187620146097653,0
subject3_file_807,1,2.9829379552562942,0,0
subject3_file_540,1,0,2.2187620146097653,0.7641759406465289
subject3_file_823,1,1.0809771709425688,0.9019607843137255,1.0
subject3_file_435,1,1.2187620146097655,1.764175940646529,0
subject3_file_5,1,1.9019607843137254,0.31680123029603996,0
subject3_file_418,1,0,1.9019607843137254,0.31680123029603996
subject3_file_439,1,1.2187620146097655,1.0,0
subject3_file_261,1,1.9019607843137254,0,0.31680123029603996
subject3_file_727,1,1.2187620146097655,1.764175940646529,0
subject3_file_559,1,2.6661367249602543,0,0.31680123029603996
subject3_file_411,1,1.2187620146097655,1.764175940646529,0
subject3_file_9,1,0,1.0,1.2187620146097655
subject3_file_640,1,0.31680123029603996,1.9019607843137254,0
subject3_file_43,1,0,1.9019607843137254,0.31680123029603996
subject3_file_491,1,0,0.9019607843137255,1.31680123029604
subject3_file_818,1,0.31680123029603996,0.9019607843137255,1.0
subject3_file_328,1,1.0,1.2187620146097655,0
subject3_file_251,1,0.9019607843137255,0,1.31680123029604
subject3_file_531,1,0.9019607843137255,0.31680123029603996,1.764175940646529
subject3_file_607,1,0,2.2187620146097653,0
subject3_file_67,1,0,2.2187620146097653,0
subject3_file_197,1,1.0,0.31680123029603996,0.9019607843137255
subject3_file_11,1,1.31680123029604,1.6661367249602543,0
subject3_file_88,1,2.6661367249602543,0.31680123029603996,0
subject3_file_260,1,1.2187620146097655,0.7641759406465289,1.0
subject3_file_318,2,1.2187620146097655,1.0,0
subject3_file_388,2,1.9019607843137254,0.31680123029603996,0
subject3_file_355,2,1.31680123029604,0.9019607843137255,0
subject3_file_391,2,1.2187620146097655,0,1.0
subject3_file_849,2,0.31680123029603996,1.0,0.9019607843137255
subject3_file_884,2,1.0,0.9019607843137255,0.31680123029603996
subject3_file_364,2,1.0,0,1.2187620146097655
subject3_file_62,2,1.2187620146097655,0,1.0
subject3_file_749,2,1.0,0,1.2187620146097655
subject3_file_695,2,1.9019607843137254,0.31680123029603996,0
subject3_file_10,2,0.9019607843137255,0.31680123029603996,1.0
subject3_file_999,2,1.9019607843137254,0.31680123029603996,0
subject3_file_511,2,1.2187620146097655,1.0,0
subject3_file_377,2,1.2187620146097655,0,1.0
subject3_file_135,2,1.2187620146097655,1.0,0
subject3_file_974,2,1.9019607843137254,0.31680123029603996,0
subject3_file_853,2,0,1.31680123029604,0.9019607843137255
subject3_file_571,2,1.0,1.2187620146097655,0
subject3_file_951,2,0.31680123029603996,0.9019607843137255,1.0
subject3_file_207,2,0.9019607843137255,0.31680123029603996,1.0
subject3_file_557,2,1.31680123029604,0,0.9019607843137255
subject3_file_977,2,1.31680123029604,0,0.9019607843137255
subject3_file_402,2,0.9019607843137255,1.0,0.31680123029603996
subject3_file_854,2,0.31680123029603996,0.9019607843137255,1.0
subject3_file_520,2,0,2.2187620146097653,0
